ID,HAIL-SIZE,LAT,LONG,MEM_VAL_X,MEM_VAL_Y,MEMBERSHIP VALUES OF DATA POINT,CONVERGED_TO_PT_X,CONVERGED_TO_PT_Y,FUZZY
0,0.75,32.2,-101.5,0.0291348807037,0.0852644805618,"[0.37343340253183815, 0.061594020656853904, 0.5417311425364363, 0.023241434274871662]",33.4883824941,-97.6385073744,NO
1,0.75,38.58,-92.58,0.0316315187631,0.856330434688,"[0.5038001708798642, 0.08639218694117827, 0.078910841713053, 0.3308968004659045]",40.6440965916,-92.7765455158,NO
2,1.5,41.2,-89.68,0.103723891266,0.782470059035,"[0.42109739300106824, 0.14129579744813775, 0.10423829691448108, 0.33336851263631284]",40.6440965916,-92.7765455158,NO
3,0.75,39.28,-87.4,0.391053138158,0.446389794645,"[0.042899666670971094, 0.02462364055775862, 0.616841569055051, 0.3156351237162192]",40.6440965916,-92.7765455158,NO
4,2.5,41.78,-87.78,0.280802411909,0.559270090611,"[0.18330475085336997, 0.4098282399622131, 0.3129345635945946, 0.09393244558982236]",40.6440965916,-92.7765455158,NO
5,2.5,39.5,-90.08,0.0933870462324,0.786166826921,"[0.5533408882311917, 0.14655102495654826, 0.2181353559608062, 0.08197273085145401]",40.6440965916,-92.7765455158,NO
6,2.5,38.38,-88.0,0.332025028243,0.48505806504,"[0.3679549016136373, 0.2543354002613105, 0.009416615826850862, 0.3682930822982014]",40.6440965916,-92.7765455158,NO
7,1.0,37.88,-86.08,0.627796220777,0.241523555908,"[0.08253250580406013, 0.5797208887494459, 0.22522471302687364, 0.11252189241962014]",38.0231490002,-81.5402317651,NO
8,0.75,37.88,-86.0,0.640006922122,0.232856910526,"[0.31040128762778124, 0.16054752273560968, 0.3777087784202113, 0.15134241121639777]",38.0231490002,-81.5402317651,NO
9,0.75,38.0,-84.58,0.834888532939,0.10172204401,"[0.04730592886735662, 0.07272296172326027, 0.4980789736425732, 0.38189213576680997]",38.0231490002,-81.5402317651,NO
10,0.75,36.5,-79.68,0.944109219453,0.0290002207786,"[0.07712414109478276, 0.28896746941367624, 0.4161379090977655, 0.21777048039377547]",38.0231490002,-81.5402317651,NO
11,2.0,36.7,-79.9,0.955139254007,0.0234843698402,"[0.25114008784445074, 0.3893280393035093, 0.216829854575226, 0.14270201827681392]",38.0231490002,-81.5402317651,NO
12,3.0,38.0,-89.0,0.22621550813,0.575540618471,"[0.16465752032986172, 0.3201990478930349, 0.10841590498922267, 0.40672752678788066]",40.6440965916,-92.7765455158,NO
13,1.5,36.2,-78.78,0.908968038811,0.0461741693894,"[0.3481851930087447, 0.06226374438693326, 0.24370062938195153, 0.3458504332223705]",38.0231490002,-81.5402317651,NO
14,1.5,39.88,-86.08,0.572427762214,0.297546693864,"[0.1186866253155025, 0.2685606888129561, 0.3296192418748638, 0.28313344399667756]",38.0231490002,-81.5402317651,NO
15,1.0,35.2,-80.9,0.912991597588,0.0445419280752,"[0.32496652468871323, 0.06613603827288354, 0.3466878839259027, 0.26220955311250027]",38.0231490002,-81.5402317651,NO
16,0.75,35.28,-80.9,0.91702128051,0.0425820746002,"[0.2249505922181849, 0.22178807745464255, 0.3979333723543496, 0.155327957972823]",38.0231490002,-81.5402317651,NO
17,1.75,33.7,-84.68,0.669718740122,0.165594372429,"[0.07463190409903844, 0.14147314319828638, 0.4371296160670296, 0.34676533663564546]",38.0231490002,-81.5402317651,NO
18,0.75,38.88,-79.78,0.960396844484,0.0215855076358,"[0.045526448594078305, 0.685828960720479, 0.1025651564717071, 0.16607943421373556]",38.0231490002,-81.5402317651,NO
19,1.5,33.7,-84.4,0.691269220402,0.154649579728,"[0.3895315126679984, 0.11410737414270423, 0.3939953341130803, 0.10236577907621713]",38.0231490002,-81.5402317651,NO
20,2.0,33.88,-82.28,0.815802752661,0.0916776841213,"[0.2119383610713622, 0.6271470977583408, 0.07632874516350922, 0.08458579600678787]",38.0231490002,-81.5402317651,NO
21,2.0,39.7,-93.18,0.0077434880911,0.961724972877,"[0.3128782425180907, 0.1274388059546257, 0.2097080747052041, 0.3499748768220795]",40.6440965916,-92.7765455158,NO
22,1.5,39.58,-93.28,0.00981316147042,0.949716159448,"[0.11079872662381662, 0.27434153612398354, 0.1886487031737888, 0.42621103407841104]",40.6440965916,-92.7765455158,NO
23,1.75,39.7,-94.78,0.0225048400717,0.826105492486,"[0.2605014869607414, 0.14718981584077553, 0.22975932250657496, 0.3625493746919082]",40.6440965916,-92.7765455158,NO
24,1.0,39.78,-94.0,0.012993111946,0.919910137611,"[0.22574649676038958, 0.4367453669293131, 0.0717954187076344, 0.26571271760266296]",40.6440965916,-92.7765455158,NO
25,0.75,38.28,-96.18,0.0379398959774,0.473857301357,"[0.48579271785158956, 0.008288118402199526, 0.4257041448741178, 0.0802150188720932]",40.6440965916,-92.7765455158,NO
26,3.0,39.38,-94.28,0.020271760157,0.859949530378,"[0.34662984967103044, 0.1758993581101429, 0.1762729674590318, 0.30119782475979495]",40.6440965916,-92.7765455158,NO
27,1.0,36.28,-96.5,0.027413893595,0.187931606389,"[0.29717388360149016, 0.11942405074462738, 0.4206276810500568, 0.16277438460382573]",33.4883824941,-97.6385073744,NO
28,1.0,36.28,-95.9,0.0326430431902,0.235367483004,"[0.40459049115717244, 0.25923634304813065, 0.08433309745514327, 0.25184006833955375]",33.4883824941,-97.6385073744,NO
29,0.75,37.2,-98.0,0.0291537591861,0.202324909984,"[0.15842333623603233, 0.17661710633305158, 0.3200072188457339, 0.34495233858518215]",33.4883824941,-97.6385073744,NO
30,1.75,31.7,-97.28,0.0107067915531,0.0305261406886,"[0.43471201403884746, 0.2660453134668255, 0.180177639912602, 0.11906503258172511]",33.4883824941,-97.6385073744,NO
31,0.75,28.7,-82.0,0.552298845451,0.18453717737,"[0.41205314763558737, 0.4042260713647591, 0.008528157314752913, 0.17519262368490057]",38.0231490002,-81.5402317651,NO
