ID,HAIL-SIZE,LAT,LONG,MEM_VAL_X,MEM_VAL_Y,MEMBERSHIP VALUES OF DATA POINT,CONVERGED_TO_PT_X,CONVERGED_TO_PT_Y,FUZZY
0,0.75,32.2,-101.5,0.0328672896321,0.112828704072,"[0.1006460433501297, 0.19394768485637337, 0.30713965984856245, 0.39826661194493446]",34.6530993064,-97.7326567148,NO
1,0.75,38.58,-92.58,0.0164235422191,0.918596446005,"[0.11891616250955228, 0.42900859943076064, 0.19513881257968368, 0.25693642548000334]",39.9373243536,-93.3681420884,NO
2,1.5,41.2,-89.68,0.131939987426,0.714106960191,"[0.284292540361816, 0.10310296997183073, 0.5370531367593556, 0.07555135290699766]",39.9373243536,-93.3681420884,NO
3,0.75,39.28,-87.4,0.396272632608,0.428918627539,"[0.26821454458435406, 0.10624719687934865, 0.3147194090114263, 0.3108188495248709]",39.9373243536,-93.3681420884,NO
4,2.5,41.78,-87.78,0.305757405501,0.508134120956,"[0.28920703606844955, 0.08969241764909612, 0.21974464177395295, 0.40135590450850134]",39.9373243536,-93.3681420884,NO
5,2.5,39.5,-90.08,0.101939859994,0.757834201674,"[0.15633407956815923, 0.321763837570052, 0.11074829871190894, 0.41115378414987974]",39.9373243536,-93.3681420884,NO
6,2.5,38.38,-88.0,0.331498204556,0.477355260807,"[0.41704785521396026, 0.11326499692960916, 0.08513465196198051, 0.38455249589445006]",39.9373243536,-93.3681420884,NO
7,1.0,37.88,-86.08,0.623191916619,0.241408236652,"[0.17752132902178633, 0.08932466204058306, 0.3097002423287517, 0.4234537666088789]",37.7794743929,-81.4448348693,NO
8,0.75,37.88,-86.0,0.635283957976,0.232902229788,"[0.0771619961328013, 0.4490614612439083, 0.16865694793342134, 0.305119594689869]",37.7794743929,-81.4448348693,NO
9,0.75,38.0,-84.58,0.827907725096,0.104501442394,"[0.4414406831508781, 0.02261741492532559, 0.35230358477487683, 0.18363831714891957]",37.7794743929,-81.4448348693,NO
10,0.75,36.5,-79.68,0.956216560746,0.0226831360018,"[0.43618590441104826, 0.1892672316965962, 0.296405467417651, 0.07814139647470442]",37.7794743929,-81.4448348693,NO
11,2.0,36.7,-79.9,0.966035249422,0.0177309520979,"[0.16873523423856496, 0.09791243024820745, 0.362178771755551, 0.3711735637576766]",37.7794743929,-81.4448348693,NO
12,3.0,38.0,-89.0,0.220947956249,0.576862500432,"[0.13965277061060097, 0.19004734230711198, 0.29443775232100833, 0.37586213476127883]",39.9373243536,-93.3681420884,NO
13,1.5,36.2,-78.78,0.923167772471,0.0389752097013,"[0.10376146782567662, 0.17521560686462245, 0.2090646290477023, 0.5119582962619986]",37.7794743929,-81.4448348693,NO
14,1.5,39.88,-86.08,0.572071377373,0.287131959308,"[0.27039581582468325, 0.2685651204630099, 0.0762248694202329, 0.3848141942920739]",37.7794743929,-81.4448348693,NO
15,1.0,35.2,-80.9,0.928895738352,0.0367002370517,"[0.4857804775436047, 0.3884043794112195, 0.000551132308365856, 0.12526401073680982]",37.7794743929,-81.4448348693,NO
16,0.75,35.28,-80.9,0.932632308463,0.0348354805973,"[0.3615557871207537, 0.4972684406254264, 0.11568615128473678, 0.025489620969083165]",37.7794743929,-81.4448348693,NO
17,1.75,33.7,-84.68,0.681689179749,0.165319737301,"[0.16656235415227, 0.5103765759857047, 0.12211559925737596, 0.20094547060464926]",37.7794743929,-81.4448348693,NO
18,0.75,38.88,-79.78,0.96201311043,0.0203798945902,"[0.11742374079270862, 0.255695877383009, 0.5670869180130597, 0.059793463811222726]",37.7794743929,-81.4448348693,NO
19,1.5,33.7,-84.4,0.704261153371,0.153189943335,"[0.5209294410188556, 0.16292280699753545, 0.22090629240257836, 0.0952414595810305]",37.7794743929,-81.4448348693,NO
20,2.0,33.88,-82.28,0.833791889886,0.0845629146629,"[0.13764320292809612, 0.3620504444512777, 0.1585056943540124, 0.3418006582666137]",37.7794743929,-81.4448348693,NO
21,2.0,39.7,-93.18,0.000358048044389,0.998075323777,"[0.21750249044765285, 0.21732637928281853, 0.49310244747409043, 0.07206868279543815]",39.9373243536,-93.3681420884,NO
22,1.5,39.58,-93.28,0.000686879664321,0.996153180303,"[0.21581436172804042, 0.3294332344082694, 0.42945039804153873, 0.025302005822151537]",39.9373243536,-93.3681420884,NO
23,1.75,39.7,-94.78,0.0111391619274,0.903732231693,"[0.351619319786025, 0.08974368515764222, 0.27281181744315025, 0.2858251776131825]",39.9373243536,-93.3681420884,NO
24,1.0,39.78,-94.0,0.00308530563837,0.97905511948,"[0.3776786152612813, 0.03700037770935824, 0.08666534682983527, 0.49865566019952523]",39.9373243536,-93.3681420884,NO
25,0.75,38.28,-96.18,0.0260956985317,0.520541219013,"[0.02885618984106433, 0.2784061635862459, 0.3130924561419298, 0.37964519043076006]",39.9373243536,-93.3681420884,NO
26,3.0,39.38,-94.28,0.00696468465538,0.94579927084,"[0.12127575644400751, 0.2807527899864236, 0.2527499998890766, 0.3452214536804922]",39.9373243536,-93.3681420884,NO
27,1.0,36.28,-96.5,0.0145670285797,0.143334294366,"[0.22964688781071424, 0.1668589095297257, 0.22750122209381168, 0.3759929805657483]",34.6530993064,-97.7326567148,NO
28,1.0,36.28,-95.9,0.0203419835529,0.217136912619,"[0.21431999416784156, 0.11219352623978379, 0.2819061707916358, 0.39158030880073885]",34.6530993064,-97.7326567148,NO
29,0.75,37.2,-98.0,0.0172334461431,0.161317842937,"[0.051615965438215734, 0.2715025354073747, 0.27210229219953697, 0.4047792069548726]",34.6530993064,-97.7326567148,NO
30,1.75,31.7,-97.28,0.0259075422194,0.0900295647379,"[0.4849336223793051, 0.2393184943631799, 0.12534677113960013, 0.1504011121179148]",34.6530993064,-97.7326567148,NO
31,0.75,28.7,-82.0,0.571193615593,0.187101049136,"[0.23646908714239165, 0.20930784847886097, 0.5049473332175083, 0.049275731161239074]",37.7794743929,-81.4448348693,NO
32,0.75,34.58,-87.0,0.476885139802,0.290950719355,"[0.08677870672252214, 0.18442936245365601, 0.4653417454710325, 0.2634501853527894]",37.7794743929,-81.4448348693,NO
33,2.0,34.7,-86.9,0.490017479402,0.285496761181,"[0.31897101996058574, 0.24377805946293515, 0.24234235507536403, 0.19490856550111502]",37.7794743929,-81.4448348693,NO
34,1.75,33.0,-90.08,0.214485379833,0.362808314913,"[0.2889374328284308, 0.00864210869698109, 0.3235981554765289, 0.3788223029980592]",39.9373243536,-93.3681420884,NO
35,0.75,32.58,-96.78,0.017579473744,0.0704252982714,"[0.34753083167051746, 0.26271352959473315, 0.06232866246566185, 0.32742697626908746]",34.6530993064,-97.7326567148,NO
36,1.75,29.68,-96.5,0.0619200404097,0.15833488698,"[0.24872291665180746, 0.24511390876896352, 0.1485320707138451, 0.35763110386538394]",34.6530993064,-97.7326567148,NO
37,2.0,29.0,-96.68,0.0705234028129,0.16798304354,"[0.19278768150889378, 0.3400150381852407, 0.018738943664200133, 0.4484583366416654]",34.6530993064,-97.7326567148,NO
38,1.5,32.7,-83.58,0.703346634863,0.146819415181,"[0.476526277363151, 0.012460796561888842, 0.23515460521984505, 0.275858320855115]",37.7794743929,-81.4448348693,NO
39,1.0,35.5,-95.5,0.0214285435979,0.180334306374,"[0.2404292440620682, 0.29682536917671143, 0.23423310803145647, 0.22851227872976398]",34.6530993064,-97.7326567148,NO
40,0.75,34.0,-93.9,0.0552458720562,0.267589587232,"[0.20843335189206735, 0.3437283942571535, 0.18593621833365748, 0.2619020355171217]",34.6530993064,-97.7326567148,NO
41,0.75,34.08,-93.68,0.0602869640932,0.291211291804,"[0.4391058880645083, 0.26798097764634704, 0.01435197976052077, 0.27856115452862396]",34.6530993064,-97.7326567148,NO
